player,money
0,151.5
1,100.5
2,55.5
3,43.5
4,51.5
5,111.29069767441861
6,111.29069767441861
7,84.5
8,111.29069767441861
9,79.5
10,111.29069767441861
11,111.29069767441861
12,61.5
13,134.5
14,59.0
15,85.5
16,70.0
17,49.5
18,126.0
19,74.0
20,73.0
21,156.0
22,111.29069767441861
23,51.0
24,110.0
25,119.0
26,70.0
27,58.0
28,111.29069767441861
29,105.0
30,113.5
31,111.29069767441861
32,179.0
33,111.29069767441861
34,132.0
35,111.29069767441861
36,111.29069767441861
37,57.0
38,61.0
39,133.0
40,111.29069767441861
41,65.0
42,111.29069767441861
43,111.29069767441861
44,133.0
45,111.29069767441861
46,111.29069767441861
47,108.0
48,153.5
49,111.29069767441861
50,111.29069767441861
51,58.0
52,92.0
53,113.5
54,55.0
55,111.29069767441861
56,154.0
57,111.29069767441861
58,110.0
59,111.29069767441861
60,111.29069767441861
61,111.29069767441861
62,46.5
63,123.5
64,111.29069767441861
65,111.29069767441861
66,155.5
67,111.29069767441861
68,166.0
69,69.0
70,111.29069767441861
71,111.29069767441861
72,57.0
73,111.29069767441861
74,111.29069767441861
75,63.0
76,118.5
77,111.29069767441861
78,121.5
79,45.5
80,77.0
81,67.0
82,111.29069767441861
83,46.0
84,111.29069767441861
85,111.29069767441861
86,37.0
87,111.29069767441861
88,111.29069767441861
89,111.29069767441861
90,111.29069767441861
91,111.29069767441861
92,77.0
93,111.29069767441861
94,111.29069767441861
95,116.0
96,111.29069767441861
97,111.29069767441861
98,99.0
99,43.5
